,experiment,channel,mean,std,min,max
0,HEPG2-01,1,37.947925205354565,34.996942575652646,2.0,255.0
1,HEPG2-01,2,26.399948734741706,14.006659455463852,2.0,255.0
2,HEPG2-01,3,34.72383564478391,19.383128666704202,2.0,255.0
3,HEPG2-01,4,40.01408919575927,20.523049227374788,3.0,255.0
4,HEPG2-01,5,43.96559181461087,30.04541177951901,1.0,255.0
5,HEPG2-01,6,30.80435258072692,16.005287378709603,3.0,255.0
6,HEPG2-02,1,33.40507252340193,34.93749667479212,2.0,255.0
7,HEPG2-02,2,27.128853740630213,16.509929749355194,2.0,255.0
8,HEPG2-02,3,29.58229715328712,17.683412706623685,2.0,255.0
9,HEPG2-02,4,46.01093650793101,28.224697756611057,3.0,255.0
10,HEPG2-02,5,32.501941801665666,24.67984088290729,1.0,255.0
11,HEPG2-02,6,31.14411666950622,17.82544670697128,2.0,255.0
12,HEPG2-03,1,12.908154589789254,19.053501334243215,2.0,255.0
13,HEPG2-03,2,12.969320964503599,11.759948439885036,2.0,255.0
14,HEPG2-03,3,10.257114345377142,6.554862290101938,2.0,255.0
15,HEPG2-03,4,18.05504085955682,15.574333658306518,3.0,255.0
16,HEPG2-03,5,4.275886320448541,3.972523668438505,1.0,255.0
17,HEPG2-03,6,11.605919741964959,8.297779423356983,2.0,255.0
18,HEPG2-04,1,6.008256912231445,9.37133750231732,0.0,255.0
19,HEPG2-04,2,10.877087134819526,10.447865378489217,1.0,255.0
20,HEPG2-04,3,9.151439789053681,5.832065405221788,1.0,255.0
21,HEPG2-04,4,6.801836224345418,5.944805723330251,1.0,229.0
22,HEPG2-04,5,3.885868547798751,3.448470574989115,0.0,255.0
23,HEPG2-04,6,10.282782769822456,7.484301464888495,1.0,255.0
24,HEPG2-05,1,3.7524226362055,6.694082130745458,0.0,255.0
25,HEPG2-05,2,9.528092981933,10.072134633126266,1.0,255.0
26,HEPG2-05,3,6.468095378442244,5.2597142285117515,1.0,255.0
27,HEPG2-05,4,6.044398538478009,6.328356101010152,1.0,255.0
28,HEPG2-05,5,2.43571556543375,2.9601360583276266,0.0,255.0
29,HEPG2-05,6,5.110681262883273,4.166332688986381,1.0,255.0
30,HEPG2-06,1,6.73843179739915,9.678883854341123,0.0,255.0
31,HEPG2-06,2,15.640715828189602,13.28446189730361,2.0,255.0
32,HEPG2-06,3,10.31616521655739,7.120844823792049,1.0,255.0
33,HEPG2-06,4,10.91490338375042,9.065763164565652,1.0,255.0
34,HEPG2-06,5,4.401273939516638,5.061590941680192,0.0,255.0
35,HEPG2-06,6,8.346202419949817,5.717513139386984,1.0,255.0
36,HEPG2-07,1,4.123609423443554,5.952378339918013,0.0,247.0
37,HEPG2-07,2,13.233933416227016,11.063038783382908,1.0,255.0
38,HEPG2-07,3,6.198933475773509,3.7009140945255656,1.0,255.0
39,HEPG2-07,4,7.382063738505045,5.843059493513173,1.0,188.0
40,HEPG2-07,5,4.086066574778983,3.87133618741504,0.0,255.0
41,HEPG2-07,6,5.482998941002823,3.2998784481821115,1.0,255.0
42,HEPG2-08,1,4.031396865844727,5.34987406269842,0.0,255.0
43,HEPG2-08,2,17.484409415944622,14.0902189586156,1.0,255.0
44,HEPG2-08,3,9.890447173440098,6.446685528736346,1.0,255.0
45,HEPG2-08,4,9.318601953799313,6.9816388472543185,0.0,255.0
46,HEPG2-08,5,11.368786411300894,9.39812811813701,0.0,255.0
47,HEPG2-08,6,7.621498163689645,4.743241808528001,1.0,255.0
48,HEPG2-09,1,2.357357628933795,4.292796820759118,0.0,231.0
49,HEPG2-09,2,7.790863263142573,8.678421359890269,1.0,255.0
50,HEPG2-09,3,4.936864837423547,3.681041402833082,1.0,255.0
51,HEPG2-09,4,3.575661749034733,3.670403991796845,0.0,253.0
52,HEPG2-09,5,3.0554958628369615,3.2658597579779953,0.0,255.0
53,HEPG2-09,6,3.5790727184964464,2.500097014366811,1.0,255.0
54,HEPG2-10,1,5.526568466966802,7.466993699331999,0.0,240.0
55,HEPG2-10,2,16.88304150878609,12.799397769160944,1.0,255.0
56,HEPG2-10,3,10.278806615185427,6.916762892884267,1.0,255.0
57,HEPG2-10,4,10.200859483186301,7.7081185390801545,1.0,238.0
58,HEPG2-10,5,8.432076283863612,8.812536470214319,0.0,255.0
59,HEPG2-10,6,8.729963407888041,5.837865998613539,1.0,255.0
60,HEPG2-11,1,4.518259136851241,6.50698786142556,0.0,249.0
61,HEPG2-11,2,15.709275299940652,12.559206752481396,1.0,255.0
62,HEPG2-11,3,9.901140841042123,6.1607798097252875,1.0,255.0
63,HEPG2-11,4,8.253368946788758,6.174657228204501,1.0,217.0
64,HEPG2-11,5,8.26331015951265,7.823171688133136,0.0,255.0
65,HEPG2-11,6,7.532963196048891,4.530769662532147,1.0,255.0
